name;link;parameters;city;price_rub
Geely EX5, 2025;https://auto.drom.ru/surgut/geely/ex5/495105861.html;218 л.с., электро, АКПП, передний;Сургут;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/kemerovo/geely/ex5/775594267.html;218 л.с., электро, АКПП, передний;Кемерово;4 399 990₽
Geely EX5, 2024;https://auto.drom.ru/chelyabinsk/geely/ex5/817721486.html;218 л.с., электро, автомат, передний;Челябинск;4 399 990₽
Geely EX5, 2024;https://auto.drom.ru/chelyabinsk/geely/ex5/803689860.html;218 л.с., электро, автомат, передний;Челябинск;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/spb/geely/ex5/157825064.html;218 л.с., электро, АКПП, передний;Санкт-Петербург;4 399 990₽
Geely EX5, 2024;https://auto.drom.ru/krasnoyarsk/geely/ex5/243994457.html;218 л.с., электро, АКПП, передний;Красноярск;4 399 990₽
Geely EX5, 2024;https://auto.drom.ru/kemerovo/geely/ex5/400055880.html;218 л.с., электро, АКПП, передний;Кемерово;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/novorossiysk/geely/ex5/724024195.html;218 л.с., электро, АКПП, передний;Новороссийск;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/spb/geely/ex5/548865166.html;218 л.с., электро, АКПП, передний;Санкт-Петербург;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/spb/geely/ex5/294546398.html;218 л.с., электро, АКПП, передний;Санкт-Петербург;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/novorossiysk/geely/ex5/930078084.html;218 л.с., электро, АКПП, передний;Новороссийск;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/novorossiysk/geely/ex5/880655352.html;218 л.с., электро, АКПП, передний;Новороссийск;4 399 990₽
Geely EX5, 2024;https://auto.drom.ru/tyumen/geely/ex5/645330268.html;218 л.с., электро, АКПП, передний;Тюмень;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/spb/geely/ex5/171433916.html;218 л.с., электро, АКПП, передний;Санкт-Петербург;4 399 900₽
Geely EX5, 2025;https://auto.drom.ru/moscow/geely/ex5/663329867.html;218 л.с., электро, АКПП, передний;Москва;4 399 990₽
Geely EX5, 2024;https://auto.drom.ru/tyumen/geely/ex5/766522580.html;218 л.с., электро, АКПП, передний;Тюмень;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/perm/geely/ex5/770994967.html;218 л.с., электро, АКПП, передний;Пермь;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/perm/geely/ex5/850148477.html;218 л.с., электро, АКПП, передний;Пермь;4 399 990₽
Geely EX5, 2025;https://auto.drom.ru/voronezh/geely/ex5/820695290.html;218 л.с., электро, АКПП, передний;Воронеж;4 339 990₽
Geely EX5, 2025;https://auto.drom.ru/voronezh/geely/ex5/306543305.html;218 л.с., электро, АКПП, передний;Воронеж;4 339 990₽
